LAD,White,Mixed,Indian,Pakistani/Bangladeshi,Black,Other
Babergh,76000,!,!,!,!,!
Basildon,138100,3300,3800,!,4500,2000
Bedford,118000,3100,4700,!,2500,7100
Braintree,115600,!,!,!,!,2600
Breckland,119100,!,!,!,!,!
Brentwood,64200,!,2200,!,!,!
Broadland,105900,!,!,!,!,1600
Broxbourne,70400,2300,!,!,4700,2500
Cambridge,84400,2800,1800,!,5100,7200
Castle Point,67400,!,!,!,!,!
Central Bedfordshire,212500,3900,3100,!,4500,6000
Chelmsford,133100,!,!,3500,!,3100
Colchester,146000,!,1200,!,4100,3000
Dacorum,117700,1300,2200,!,!,5600
East Cambridgeshire,66500,3800,!,!,!,1400
East Hertfordshire,113200,!,2500,!,1700,1600
East Suffolk,188000,1700,!,!,!,3400
Epping Forest,86600,4300,4000,!,5000,7000
Fenland,83100,!,!,!,!,!
Great Yarmouth,79400,!,!,!,!,!
Harlow,57500,!,!,1000,5300,1700
Hertsmere,56000,3400,5800,!,6000,5500
Huntingdonshire,128300,2300,!,!,!,2700
Ipswich,106600,!,2100,!,3800,!
King's Lynn and West Norfolk,117100,!,!,!,!,1200
Luton,103400,2600,10800,27500,19400,9600
Maldon,52100,!,!,!,!,!
Mid Suffolk,81100,!,!,!,!,2000
North Hertfordshire,102100,!,!,2400,1300,2200
North Norfolk,88900,!,!,!,!,!
Norwich,105400,3200,2300,!,2000,!
Peterborough,142100,1800,1300,6100,6000,7100
Rochford,70200,!,!,!,1300,1300
South Cambridgeshire,116200,900,!,!,!,5200
South Norfolk,109600,!,!,!,!,!
Southend-on-Sea,139500,2700,2100,1600,2400,3700
St Albans,102100,3300,600,1000,1600,4300
Stevenage,69700,!,!,!,2300,3300
Tendring,115100,!,!,!,!,!
Three Rivers,62500,!,8400,!,1700,1300
Thurrock,113500,2000,3300,!,11700,9900
Uttlesford,68100,!,1100,!,!,1800
Watford,46600,2900,12100,4900,!,6400
Welwyn Hatfield,88500,2100,1800,3000,!,2000
West Suffolk,139400,!,!,!,!,4600
Amber Valley,110200,!,!,!,!,!
Ashfield,97500,!,!,!,!,!
Bassetlaw,102000,!,!,!,!,!
Blaby,74700,!,!,!,4000,500
Bolsover,60700,!,!,!,!,!
Boston,51600,!,!,!,!,3800
Broxtowe,81100,!,800,!,2100,1000
Charnwood,129600,!,8900,4600,!,4500
Chesterfield,77300,!,2600,!,3300,1700
Derby,183100,1900,9100,6900,5500,2900
Derbyshire Dales,56500,!,!,!,!,!
East Lindsey,117000,!,!,!,!,!
Erewash,88700,2400,!,!,!,!
Gedling,83600,900,3800,!,3500,2400
Harborough,64700,!,3500,!,2600,!
High Peak,78100,!,!,!,!,!
Hinckley and Bosworth,91900,!,!,!,!,!
Leicester,151100,8000,84900,9700,23800,7500
Lincoln,79300,1900,!,!,!,!
Mansfield,85200,!,!,!,!,!
Melton,39700,!,!,!,!,!
Newark and Sherwood,99100,!,!,!,!,!
North East Derbyshire,79400,!,!,!,1500,1700
North Kesteven,85800,!,!,!,!,!
North Northamptonshire,264700,1700,6700,!,7700,!
North West Leicestershire,75500,1300,!,!,!,1600
Nottingham,197600,8600,7000,11300,34600,9300
Oadby and Wigston,25200,!,8800,3500,!,4200
Rushcliffe,82800,700,4900,!,!,1600
Rutland,30000,!,!,!,!,!
South Derbyshire,75300,!,2400,!,!,!
South Holland,78400,900,!,!,!,!
South Kesteven,112200,!,!,!,!,!
West Lindsey,77500,!,!,!,!,!
West Northamptonshire,272600,8800,7900,14600,13700,1300
Barking and Dagenham,74000,2200,6500,24100,39800,15600
Barnet,200200,6300,35100,8600,20400,42500
Bexley,151200,4000,8400,!,22300,8600
Brent,93700,13000,67700,22800,19900,50200
Bromley,222100,9700,14200,!,5600,19000
Camden,145400,13500,4200,12300,18600,29500
City of London,5500,!,!,!,!,900
Croydon,190500,9100,26500,11200,41800,24700
